Type,GenusRichness
eDITH,12
eDITH,18
eDITH,11
eDITH,16
eDITH,17
eDITH,13
eDITH,11
eDITH,14
eDITH,9
eDITH,14
eDITH,14
eDITH,19
eDITH,4
eDITH,12
eDITH,9
eDITH,7
eDITH,14
eDITH,17
eDITH,15
eDITH,13
eDITH,15
eDITH,8
eDITH,19
eDITH,16
eDITH,14
eDITH,13
eDITH,14
eDITH,10
eDITH,13
eDITH,14
eDITH,8
eDITH,13
eDITH,12
eDITH,11
eDITH,13
eDITH,8
eDITH,9
eDITH,11
eDITH,8
eDITH,14
eDITH,10
eDITH,14
eDITH,12
eDITH,12
eDITH,9
eDITH,9
eDITH,13
eDITH,14
eDITH,10
eDITH,16
eDITH,11
eDITH,13
eDITH,7
eDITH,13
eDITH,9
eDITH,11
eDITH,14
eDITH,9
eDITH,9
eDITH,16
eDITH,13
eDITH,2
eDITH,6
eDITH,18
eDITH,10
eDITH,14
eDITH,15
eDITH,1
eDITH,12
eDITH,11
eDITH,15
eDITH,11
eDITH,13
eDITH,9
eDITH,4
eDITH,9
eDITH,15
eDITH,14
eDITH,7
eDITH,18
eDITH,14
eDITH,17
eDITH,13
eDITH,3
eDITH,3
eDITH,11
eDITH,4
eDITH,13
eDITH,7
eDITH,2
eDITH,15
eDITH,13
eDITH,14
eDITH,4
eDITH,15
eDITH,13
eDITH,9
eDITH,7
eDITH,1
eDITH,6
eDITH,5
eDITH,3
eDITH,13
eDITH,4
eDITH,11
eDITH,13
eDITH,10
eDITH,9
eDITH,10
eDITH,8
eDITH,3
eDITH,0
eDITH,12
eDITH,15
eDITH,10
eDITH,4
eDITH,2
eDITH,2
eDITH,15
eDITH,3
eDITH,8
eDITH,4
eDITH,9
eDITH,4
eDITH,4
eDITH,7
eDITH,6
eDITH,7
eDITH,12
eDITH,7
eDITH,10
eDITH,7
eDITH,7
eDITH,8
eDITH,19
eDITH,6
eDITH,7
eDITH,6
eDITH,17
eDITH,6
eDITH,8
eDITH,6
eDITH,10
eDITH,8
eDITH,5
eDITH,6
eDITH,6
eDITH,5
eDITH,8
eDITH,8
eDITH,2
eDITH,6
eDITH,9
eDITH,6
eDITH,19
eDITH,10
eDITH,3
eDITH,11
eDITH,9
eDITH,7
eDITH,8
eDITH,5
eDITH,16
eDITH,6
eDITH,5
eDITH,8
eDITH,10
eDITH,5
eDITH,12
eDITH,16
eDITH,15
eDITH,6
eDITH,7
eDITH,5
eDITH,1
eDITH,5
eDITH,0
eDITH,7
eDITH,11
eDITH,9
eDITH,6
eDITH,16
eDITH,6
eDITH,15
eDITH,2
eDITH,6
eDITH,8
eDITH,10
eDITH,15
eDITH,5
eDITH,13
eDITH,4
eDITH,13
eDITH,8
eDITH,17
eDITH,5
eDITH,3
eDITH,11
eDITH,10
eDITH,10
eDITH,9
eDITH,8
eDITH,10
eDITH,7
eDITH,11
eDITH,9
eDITH,8
eDITH,12
eDITH,9
eDITH,12
eDITH,13
eDITH,13
eDITH,16
eDITH,11
eDITH,9
eDITH,5
eDITH,6
eDITH,9
eDITH,12
eDITH,4
eDITH,14
eDITH,11
eDITH,10
eDITH,14
eDITH,15
eDITH,10
eDITH,15
eDITH,11
eDITH,13
eDITH,11
eDITH,13
eDITH,7
eDITH,14
eDITH,12
eDITH,2
eDITH,4
eDITH,11
eDITH,6
eDITH,11
eDITH,5
eDITH,4
eDITH,3
eDITH,12
eDITH,14
eDITH,9
eDITH,10
eDITH,14
eDITH,12
eDITH,17
eDITH,8
eDITH,16
eDITH,5
eDITH,13
eDITH,8
eDITH,4
eDITH,14
eDITH,6
eDITH,13
eDITH,6
eDITH,9
eDITH,11
eDITH,4
eDITH,4
eDITH,14
eDITH,10
eDITH,17
eDITH,6
eDITH,11
eDITH,13
eDITH,13
eDITH,11
eDITH,5
eDITH,11
eDITH,17
eDITH,10
eDITH,4
eDITH,12
eDITH,12
eDITH,6
eDITH,10
eDITH,7
eDITH,14
eDITH,13
eDITH,17
eDITH,14
eDITH,9
eDITH,6
eDITH,11
eDITH,11
eDITH,9
eDITH,12
eDITH,3
eDITH,11
eDITH,10
eDITH,14
eDITH,14
eDITH,7
eDITH,5
eDITH,6
eDITH,13
eDITH,8
eDITH,11
eDITH,13
eDITH,11
eDITH,13
eDITH,8
eDITH,12
eDITH,13
eDITH,6
eDITH,15
eDITH,18
eDITH,4
eDITH,7
eDITH,12
eDITH,8
eDITH,2
eDITH,16
eDITH,10
eDITH,12
eDITH,9
eDITH,6
eDITH,6
eDITH,10
eDITH,14
eDITH,15
eDITH,6
eDITH,11
eDITH,3
eDITH,13
eDITH,3
eDITH,13
eDITH,3
eDITH,17
eDITH,8
eDITH,18
eDITH,13
eDITH,17
eDITH,14
eDITH,17
eDITH,4
eDITH,13
eDITH,2
eDITH,15
eDITH,13
eDITH,12
eDITH,10
eDITH,4
eDITH,13
eDITH,9
eDITH,7
eDITH,15
eDITH,17
eDITH,10
eDITH,10
eDITH,12
eDITH,13
eDITH,13
eDITH,11
eDITH,12
eDITH,12
eDITH,16
eDITH,16
eDITH,12
eDITH,9
eDITH,6
eDITH,11
eDITH,13
eDITH,14
eDITH,14
eDITH,4
eDITH,12
eDITH,11
eDITH,5
eDITH,9
eDITH,6
eDITH,8
eDITH,16
eDITH,6
eDITH,11
eDITH,13
eDITH,19
eDITH,11
eDITH,17
eDITH,10
eDITH,9
eDITH,3
eDITH,7
eDITH,2
eDITH,3
eDITH,10
eDITH,16
eDITH,13
eDITH,16
eDITH,16
eDITH,6
eDITH,7
eDITH,10
eDITH,15
eDITH,2
eDITH,6
eDITH,4
eDITH,16
eDITH,11
eDITH,13
eDITH,16
eDITH,14
eDITH,16
eDITH,7
eDITH,4
eDITH,6
eDITH,3
eDITH,3
eDITH,9
eDITH,13
eDITH,12
eDITH,11
eDITH,14
eDITH,13
eDITH,9
eDITH,12
eDITH,13
eDITH,9
eDITH,14
eDITH,10
eDITH,17
eDITH,16
eDITH,12
eDITH,9
eDITH,16
eDITH,12
eDITH,4
eDITH,5
eDITH,12
eDITH,9
eDITH,11
eDITH,10
eDITH,16
eDITH,12
eDITH,8
eDITH,17
eDITH,10
eDITH,4
eDITH,12
eDITH,15
eDITH,8
eDITH,17
eDITH,6
eDITH,15
eDITH,12
eDITH,1
eDITH,7
eDITH,7
eDITH,10
eDITH,3
eDITH,4
eDITH,7
eDITH,8
eDITH,6
eDITH,17
eDITH,15
eDITH,3
eDITH,8
eDITH,12
eDITH,9
eDITH,16
eDITH,10
eDITH,11
eDITH,14
eDITH,9
eDITH,9
eDITH,11
eDITH,0
eDITH,11
eDITH,12
eDITH,12
eDITH,5
eDITH,13
eDITH,13
eDITH,7
eDITH,13
eDITH,16
eDITH,4
eDITH,11
eDITH,11
eDITH,11
eDITH,8
eDITH,11
eDITH,5
eDITH,11
eDITH,11
eDITH,5
eDITH,13
eDITH,4
eDITH,13
eDITH,5
eDITH,8
eDITH,8
eDITH,11
eDITH,15
eDITH,5
eDITH,15
eDITH,2
eDITH,18
eDITH,9
eDITH,18
eDITH,7
eDITH,7
eDITH,14
eDITH,15
eDITH,18
eDITH,13
eDITH,4
eDITH,6
eDITH,3
eDITH,9
eDITH,9
eDITH,7
eDITH,12
eDITH,8
eDITH,10
eDITH,4
eDITH,12
eDITH,12
eDITH,8
eDITH,15
eDITH,4
eDITH,6
eDITH,5
eDITH,14
eDITH,14
eDITH,1
eDITH,7
eDITH,14
eDITH,14
eDITH,12
eDITH,10
eDITH,13
eDITH,4
eDITH,5
eDITH,15
eDITH,9
eDITH,11
eDITH,11
eDITH,13
eDITH,9
eDITH,13
eDITH,10
eDITH,14
eDITH,8
eDITH,3
eDITH,5
eDITH,11
eDITH,12
eDITH,11
eDITH,8
eDITH,13
eDITH,10
eDITH,8
eDITH,11
eDITH,10
eDITH,10
eDITH,10
eDITH,13
eDITH,15
eDITH,12
eDITH,8
eDITH,6
eDITH,16
eDITH,7
eDITH,12
eDITH,10
eDITH,10
eDITH,10
eDITH,6
eDITH,3
eDITH,8
eDITH,18
eDITH,3
eDITH,8
eDITH,16
eDITH,6
eDITH,10
eDITH,16
eDITH,18
eDITH,0
eDITH,11
eDITH,5
eDITH,13
eDITH,9
eDITH,8
eDITH,16
eDITH,12
eDITH,3
eDITH,6
eDITH,10
eDITH,9
eDITH,12
eDITH,2
eDITH,5
eDITH,8
eDITH,13
eDITH,11
eDITH,6
eDITH,5
eDITH,2
eDITH,1
eDITH,7
eDITH,12
eDITH,13
eDITH,2
eDITH,5
eDITH,1
eDITH,3
eDITH,3
eDITH,1
eDITH,8
eDITH,13
eDITH,9
eDITH,6
eDITH,15
eDITH,3
eDITH,10
eDITH,3
eDITH,9
eDITH,5
eDITH,12
eDITH,11
eDITH,6
eDITH,8
eDITH,9
eDITH,6
eDITH,15
eDITH,14
eDITH,13
eDITH,9
eDITH,2
eDITH,9
eDITH,3
eDITH,13
eDITH,13
eDITH,7
eDITH,14
eDITH,3
eDITH,2
eDITH,5
eDITH,11
eDITH,9
eDITH,6
eDITH,8
eDITH,3
eDITH,10
eDITH,3
eDITH,7
eDITH,4
eDITH,2
eDITH,11
eDITH,4
eDITH,8
eDITH,3
eDITH,9
eDITH,4
eDITH,6
eDITH,5
eDITH,6
eDITH,9
eDITH,2
eDITH,4
eDITH,4
eDITH,6
eDITH,3
eDITH,13
eDITH,4
eDITH,4
eDITH,4
eDITH,4
eDITH,9
eDITH,7
eDITH,2
eDITH,7
eDITH,14
eDITH,9
eDITH,16
eDITH,4
eDITH,6
eDITH,5
eDITH,5
eDITH,6
eDITH,8
eDITH,3
eDITH,6
eDITH,10
eDITH,8
eDITH,9
eDITH,5
eDITH,3
eDITH,7
eDITH,5
eDITH,14
eDITH,2
eDITH,5
eDITH,6
eDITH,15
eDITH,8
eDITH,8
eDITH,3
eDITH,4
eDITH,6
eDITH,7
eDITH,6
eDITH,12
eDITH,5
eDITH,5
eDITH,1
eDITH,8
eDITH,4
eDITH,6
eDITH,5
eDITH,5
eDITH,3
eDITH,13
eDITH,7
eDITH,5
eDITH,6
eDITH,5
eDITH,6
eDITH,11
eDITH,9
eDITH,7
eDITH,11
eDITH,4
eDITH,7
eDITH,8
eDITH,8
eDITH,10
eDITH,8
eDITH,8
eDITH,9
eDITH,8
eDITH,6
eDITH,6
eDITH,2
eDITH,10
eDITH,7
eDITH,7
eDITH,4
eDITH,6
eDITH,10
eDITH,9
eDITH,6
eDITH,7
eDITH,4
eDITH,7
eDITH,5
eDITH,6
eDITH,8
eDITH,7
eDITH,15
eDITH,12
eDITH,7
eDITH,11
eDNA,5
eDNA,4
eDNA,14
eDNA,7
eDNA,9
eDNA,6
eDNA,5
eDNA,3
eDNA,9
eDNA,9
eDNA,4
eDNA,7
eDNA,10
eDNA,8
eDNA,6
eDNA,0
eDNA,9
eDNA,2
eDNA,6
eDNA,5
eDNA,6
eDNA,9
eDNA,1
eDNA,6
eDNA,14
eDNA,1
eDNA,7
eDNA,8
eDNA,12
eDNA,13
eDNA,13
eDNA,7
eDNA,14
eDNA,10
eDNA,13
eDNA,10
eDNA,8
eDNA,7
eDNA,11
eDNA,3
eDNA,10
eDNA,5
eDNA,9
eDNA,8
eDNA,13
eDNA,6
eDNA,11
eDNA,15
eDNA,17
eDNA,10
eDNA,5
eDNA,9
eDNA,6
eDNA,3
eDNA,8
eDNA,8
eDNA,10
eDNA,9
eDNA,10
eDNA,6
eDNA,8
kicknet,7
kicknet,9
kicknet,9
kicknet,9
kicknet,16
kicknet,7
kicknet,8
kicknet,14
kicknet,13
kicknet,7
kicknet,10
kicknet,9
kicknet,9
kicknet,16
kicknet,8
kicknet,5
kicknet,7
kicknet,7
kicknet,2
kicknet,7
kicknet,12
kicknet,9
kicknet,7
kicknet,9
kicknet,6
kicknet,14
kicknet,10
kicknet,11
kicknet,9
kicknet,11
kicknet,10
kicknet,14
kicknet,10
kicknet,6
kicknet,10
kicknet,13
kicknet,10
kicknet,12
kicknet,12
kicknet,11
kicknet,10
kicknet,11
kicknet,9
kicknet,16
kicknet,15
kicknet,12
kicknet,13
kicknet,12
kicknet,13
kicknet,12
kicknet,13
kicknet,15
kicknet,10
kicknet,13
kicknet,9
kicknet,9
kicknet,14
kicknet,17
kicknet,8
kicknet,12
