Type,StreamOrder,GenusRichness
eDITH,1,12
eDITH,1,18
eDITH,1,11
eDITH,1,16
eDITH,1,17
eDITH,1,13
eDITH,1,14
eDITH,1,9
eDITH,1,4
eDITH,1,9
eDITH,1,14
eDITH,1,17
eDITH,1,13
eDITH,1,8
eDITH,1,16
eDITH,1,14
eDITH,1,10
eDITH,1,14
eDITH,1,8
eDITH,1,12
eDITH,1,8
eDITH,1,9
eDITH,1,11
eDITH,1,10
eDITH,1,12
eDITH,1,12
eDITH,1,9
eDITH,1,13
eDITH,1,16
eDITH,1,11
eDITH,1,13
eDITH,1,13
eDITH,1,9
eDITH,1,9
eDITH,1,16
eDITH,1,2
eDITH,1,6
eDITH,1,18
eDITH,1,14
eDITH,1,12
eDITH,1,11
eDITH,1,13
eDITH,1,4
eDITH,1,9
eDITH,1,15
eDITH,1,7
eDITH,1,14
eDITH,1,17
eDITH,1,3
eDITH,1,3
eDITH,1,11
eDITH,1,13
eDITH,1,14
eDITH,1,13
eDITH,1,9
eDITH,1,6
eDITH,1,5
eDITH,1,3
eDITH,1,11
eDITH,1,9
eDITH,1,10
eDITH,1,8
eDITH,1,15
eDITH,1,10
eDITH,1,9
eDITH,1,7
eDITH,1,12
eDITH,1,19
eDITH,1,17
eDITH,1,6
eDITH,1,10
eDITH,1,9
eDITH,1,6
eDITH,1,19
eDITH,1,3
eDITH,1,11
eDITH,1,9
eDITH,1,7
eDITH,1,8
eDITH,1,5
eDITH,1,8
eDITH,1,10
eDITH,1,12
eDITH,1,16
eDITH,1,15
eDITH,1,0
eDITH,1,9
eDITH,1,16
eDITH,1,15
eDITH,1,2
eDITH,1,8
eDITH,1,15
eDITH,1,5
eDITH,1,13
eDITH,1,8
eDITH,1,17
eDITH,1,10
eDITH,1,8
eDITH,1,7
eDITH,1,9
eDITH,1,12
eDITH,1,9
eDITH,1,12
eDITH,1,13
eDITH,1,13
eDITH,1,16
eDITH,1,11
eDITH,1,9
eDITH,1,5
eDITH,1,6
eDITH,1,14
eDITH,1,11
eDITH,1,14
eDITH,1,15
eDITH,1,10
eDITH,1,15
eDITH,1,13
eDITH,1,11
eDITH,1,11
eDITH,1,14
eDITH,1,9
eDITH,1,12
eDITH,1,16
eDITH,1,8
eDITH,1,14
eDITH,1,6
eDITH,1,13
eDITH,1,6
eDITH,1,9
eDITH,1,11
eDITH,1,4
eDITH,1,10
eDITH,1,17
eDITH,1,13
eDITH,1,17
eDITH,1,10
eDITH,1,12
eDITH,1,6
eDITH,1,7
eDITH,1,14
eDITH,1,13
eDITH,1,14
eDITH,1,9
eDITH,1,12
eDITH,1,3
eDITH,1,14
eDITH,1,6
eDITH,1,13
eDITH,1,13
eDITH,1,8
eDITH,1,13
eDITH,1,6
eDITH,1,15
eDITH,1,18
eDITH,1,2
eDITH,1,16
eDITH,1,10
eDITH,1,9
eDITH,1,6
eDITH,1,10
eDITH,1,14
eDITH,1,11
eDITH,1,3
eDITH,1,13
eDITH,1,17
eDITH,1,8
eDITH,1,17
eDITH,1,14
eDITH,1,17
eDITH,1,13
eDITH,1,2
eDITH,1,13
eDITH,1,4
eDITH,1,9
eDITH,1,15
eDITH,1,17
eDITH,1,10
eDITH,1,10
eDITH,1,11
eDITH,1,12
eDITH,1,16
eDITH,1,16
eDITH,1,12
eDITH,1,4
eDITH,1,11
eDITH,1,6
eDITH,1,16
eDITH,1,6
eDITH,1,11
eDITH,1,19
eDITH,1,17
eDITH,1,10
eDITH,1,9
eDITH,1,7
eDITH,1,2
eDITH,1,16
eDITH,1,16
eDITH,1,6
eDITH,1,10
eDITH,1,2
eDITH,1,4
eDITH,1,16
eDITH,1,11
eDITH,1,16
eDITH,1,9
eDITH,1,12
eDITH,1,14
eDITH,1,13
eDITH,1,12
eDITH,1,14
eDITH,1,17
eDITH,1,9
eDITH,1,16
eDITH,1,12
eDITH,1,9
eDITH,1,16
eDITH,1,12
eDITH,1,8
eDITH,1,12
eDITH,1,15
eDITH,1,17
eDITH,1,6
eDITH,1,15
eDITH,1,12
eDITH,1,1
eDITH,1,7
eDITH,1,15
eDITH,1,8
eDITH,1,12
eDITH,1,9
eDITH,1,16
eDITH,1,10
eDITH,1,11
eDITH,1,9
eDITH,1,11
eDITH,1,13
eDITH,1,13
eDITH,1,13
eDITH,1,5
eDITH,1,5
eDITH,1,13
eDITH,1,5
eDITH,1,8
eDITH,1,8
eDITH,1,11
eDITH,1,5
eDITH,1,15
eDITH,1,2
eDITH,1,9
eDITH,1,7
eDITH,1,14
eDITH,1,9
eDITH,1,7
eDITH,1,4
eDITH,1,12
eDITH,1,12
eDITH,1,8
eDITH,1,14
eDITH,1,14
eDITH,1,1
eDITH,1,7
eDITH,1,14
eDITH,1,13
eDITH,1,5
eDITH,1,15
eDITH,1,9
eDITH,1,11
eDITH,1,13
eDITH,1,14
eDITH,1,3
eDITH,1,13
eDITH,1,10
eDITH,1,10
eDITH,1,13
eDITH,1,8
eDITH,1,6
eDITH,1,16
eDITH,1,7
eDITH,1,10
eDITH,1,3
eDITH,1,8
eDITH,1,18
eDITH,1,8
eDITH,1,16
eDITH,1,6
eDITH,1,10
eDITH,1,16
eDITH,1,18
eDITH,1,0
eDITH,1,5
eDITH,1,13
eDITH,1,9
eDITH,1,16
eDITH,1,9
eDITH,1,12
eDITH,1,2
eDITH,1,8
eDITH,1,13
eDITH,1,11
eDITH,1,5
eDITH,1,12
eDITH,1,2
eDITH,1,5
eDITH,1,1
eDITH,1,13
eDITH,1,6
eDITH,1,15
eDITH,1,3
eDITH,1,10
eDITH,1,3
eDITH,1,9
eDITH,1,6
eDITH,1,9
eDITH,1,2
eDITH,1,9
eDITH,1,3
eDITH,1,13
eDITH,1,7
eDITH,1,2
eDITH,1,5
eDITH,1,9
eDITH,1,6
eDITH,1,3
eDITH,1,7
eDITH,1,2
eDITH,1,8
eDITH,1,3
eDITH,1,5
eDITH,1,6
eDITH,1,9
eDITH,1,4
eDITH,1,4
eDITH,1,4
eDITH,1,4
eDITH,1,4
eDITH,1,9
eDITH,1,2
eDITH,1,14
eDITH,1,9
eDITH,1,16
eDITH,1,5
eDITH,1,6
eDITH,1,8
eDITH,1,9
eDITH,1,5
eDITH,1,3
eDITH,1,7
eDITH,1,14
eDITH,1,5
eDITH,1,15
eDITH,1,8
eDITH,1,4
eDITH,1,6
eDITH,1,6
eDITH,1,5
eDITH,1,5
eDITH,1,1
eDITH,1,4
eDITH,1,6
eDITH,1,5
eDITH,1,5
eDITH,1,3
eDITH,1,5
eDITH,1,6
eDITH,1,11
eDITH,1,4
eDITH,1,8
eDITH,1,8
eDITH,1,9
eDITH,1,8
eDITH,1,6
eDITH,1,10
eDITH,1,6
eDITH,1,10
eDITH,1,6
eDITH,1,4
eDITH,1,7
eDITH,1,6
eDITH,1,7
eDITH,1,12
eDITH,1,7
eDITH,1,11
eDITH,2,11
eDITH,2,14
eDITH,2,14
eDITH,2,19
eDITH,2,12
eDITH,2,7
eDITH,2,15
eDITH,2,15
eDITH,2,19
eDITH,2,13
eDITH,2,14
eDITH,2,13
eDITH,2,11
eDITH,2,8
eDITH,2,14
eDITH,2,9
