GenusID,GenusName,TP,TN,FP,FN,Gof,AccAS1a,AccAS1b,AccAS1c,AccAS2a,AccAS2b,AccAS2c,AccAS3a,AccAS3b,AccAS3c,GofAS1a,GofAS1b,GofAS1c,GofAS2a,GofAS2b,GofAS2c,GofAS3a,GofAS3b,GofAS3c
1,Ameletus,0,1,0,0,1,1,1,0.983333333333333,1,0.966666666666667,1,1,0.983333333333333,0.966666666666667,0.983606557377049,1,1,1,0.983606557377049,1,1,1,0.983606557377049
2,Ecnomus,0,1,0,0,1,0.983333333333333,0.983333333333333,0.983333333333333,1,1,0.983333333333333,0.966666666666667,0.933333333333333,0.95,1,1,1,0.983606557377049,0.983606557377049,1,0.983606557377049,1,0.967213114754098
3,Allotrichia,0,1,0,0,1,1,0.983333333333333,1,0.95,0.933333333333333,0.983333333333333,0.966666666666667,1,0.933333333333333,1,1,0.983606557377049,1,1,0.983606557377049,1,0.983606557377049,1
4,Pseudopsilopteryx,0,1,0,0,1,1,0.966666666666667,1,0.966666666666667,0.966666666666667,0.95,0.966666666666667,0.983333333333333,1,0.983606557377049,1,1,0.950819672131147,0.983606557377049,1,0.983606557377049,1,0.983606557377049
5,Annitella,0,0.983333333333333,0.0166666666666667,0,1,0.9,0.966666666666667,0.966666666666667,0.916666666666667,0.9,1,0.983333333333333,0.883333333333333,0.883333333333333,1,1,1,0.983606557377049,1,1,0.983606557377049,0.967213114754098,0.983606557377049
6,Ernodes,0,0.983333333333333,0.0166666666666667,0,1,0.916666666666667,0.983333333333333,0.95,0.966666666666667,0.9,1,0.916666666666667,1,0.916666666666667,1,1,1,0.950819672131147,1,0.967213114754098,0.983606557377049,0.967213114754098,1
7,Glossosoma,0,0.983333333333333,0.0166666666666667,0,1,0.966666666666667,0.983333333333333,0.966666666666667,0.983333333333333,0.983333333333333,0.983333333333333,1,1,0.85,0.983606557377049,0.983606557377049,1,1,0.983606557377049,1,0.950819672131147,0.967213114754098,0.967213114754098
8,Paraleptophlebia,0,0.983333333333333,0.0166666666666667,0,1,0.983333333333333,0.983333333333333,0.95,0.966666666666667,1,0.95,0.916666666666667,0.966666666666667,0.983333333333333,0.983606557377049,0.983606557377049,0.983606557377049,0.950819672131147,0.967213114754098,0.983606557377049,0.983606557377049,1,0.983606557377049
9,Zwicknia,0,0.983333333333333,0.0166666666666667,0,1,0.983333333333333,0.983333333333333,0.966666666666667,0.983333333333333,0.9,0.983333333333333,1,0.966666666666667,0.95,0.983606557377049,1,1,0.950819672131147,1,1,0.983606557377049,0.983606557377049,1
10,Ephemerella,0,0.966666666666667,0.0333333333333333,0,0.983606557377049,0.966666666666667,0.966666666666667,0.983333333333333,0.966666666666667,0.95,0.95,0.983333333333333,1,0.916666666666667,0.950819672131147,1,0.983606557377049,0.967213114754098,0.950819672131147,0.950819672131147,0.934426229508197,0.934426229508197,1
11,Potamophylax,0,0.966666666666667,0.0333333333333333,0,0.934426229508197,0.733333333333333,0.866666666666667,0.866666666666667,0.883333333333333,0.8,0.766666666666667,0.95,0.9,0.833333333333333,0.901639344262295,0.901639344262295,0.901639344262295,0.852459016393443,0.868852459016393,0.885245901639344,0.80327868852459,0.819672131147541,0.819672131147541
12,Rhabdiopteryx,0,0.966666666666667,0.0333333333333333,0,1,0.95,1,0.966666666666667,0.983333333333333,0.966666666666667,1,0.933333333333333,0.95,1,0.983606557377049,1,1,0.950819672131147,0.983606557377049,0.983606557377049,0.967213114754098,1,0.934426229508197
13,Limnephilus,0.0333333333333333,0.916666666666667,0.05,0,0.950819672131147,0.9,0.916666666666667,0.9,0.9,0.866666666666667,0.9,0.866666666666667,0.816666666666667,0.85,0.950819672131147,0.967213114754098,0.934426229508197,0.901639344262295,0.934426229508197,0.950819672131147,0.934426229508197,0.934426229508197,0.950819672131147
14,Athripsodes,0.0166666666666667,0.916666666666667,0.0666666666666667,0,1,0.833333333333333,0.9,0.916666666666667,0.933333333333333,0.9,0.85,0.75,0.883333333333333,0.883333333333333,1,0.983606557377049,0.983606557377049,0.983606557377049,0.983606557377049,1,0.983606557377049,1,0.967213114754098
15,Halesus,0,0.916666666666667,0.0833333333333333,0,0.983606557377049,0.983333333333333,0.983333333333333,0.933333333333333,0.983333333333333,0.85,0.966666666666667,0.9,1,0.933333333333333,0.950819672131147,0.950819672131147,0.967213114754098,0.934426229508197,0.934426229508197,0.983606557377049,0.967213114754098,0.934426229508197,0.918032786885246
16,Synagapetus,0,0.916666666666667,0.0833333333333333,0,1,0.966666666666667,0.916666666666667,0.9,0.966666666666667,0.966666666666667,0.85,0.833333333333333,0.916666666666667,0.95,0.967213114754098,1,0.983606557377049,0.950819672131147,0.967213114754098,1,0.983606557377049,0.967213114754098,0.950819672131147
17,Wormaldia,0.0666666666666667,0.8,0.133333333333333,0,0.983606557377049,0.8,0.75,0.833333333333333,0.85,0.816666666666667,0.8,0.916666666666667,0.733333333333333,0.75,0.983606557377049,0.967213114754098,0.950819672131147,0.901639344262295,0.852459016393443,0.934426229508197,0.918032786885246,0.901639344262295,0.819672131147541
18,Nemoura,0.116666666666667,0.3,0.583333333333333,0,0.967213114754098,0.45,0.516666666666667,0.483333333333333,0.533333333333333,0.566666666666667,0.533333333333333,0.5,0.55,0.516666666666667,0.934426229508197,0.934426229508197,0.901639344262295,0.885245901639344,0.868852459016393,0.950819672131147,0.967213114754098,0.852459016393443,0.852459016393443
