GenusName,LossOfGofCalibAS1,LossOfGofCalibAS2,LossOfGofCalibAS3,LossOfGofValidAS1,LossOfGofValidAS2,LossOfGofValidAS3,LossOfAccuracyAS1,LossOfAccuracyAS2,LossOfAccuracyAS3
Leuctra,0,0,0,-0.0277777777777778,-0.0138888888888889,-0.00925925925925926,-0.00555555555555557,-0.0111111111111111,-0.0166666666666667
Nemurella,0,0,0,0,-0.0277777777777778,-0.0277777777777778,-0.0166666666666667,-0.00555555555555557,-0.05
Chloroperla,0,0,0,-0.0277777777777778,-0.0138888888888889,-0.00925925925925926,-0.00555555555555557,-0.0444444444444445,-0.0333333333333333
Protonemura,0,0,0,-0.0277777777777778,-0.0555555555555556,-0.0185185185185185,-0.0111111111111111,-0.0388888888888889,-0.0166666666666667
Ephemera,0,0,0,0,-0.0138888888888889,-0.037037037037037,-0.0388888888888888,-0.0444444444444444,-0.0666666666666667
Rhyacophila,0,0,0,0,-0.0694444444444444,-0.0277777777777778,-0.0333333333333333,-0.0277777777777777,-0.0388888888888889
Nemoura,0,0,0,-0.0555555555555556,-0.0138888888888889,-0.0648148148148148,-0.0111111111111111,0,-0.0333333333333333
Zwicknia,0,0,0,-0.0833333333333333,-0.0833333333333333,-0.0185185185185185,-0.0111111111111111,-0.0111111111111111,-0.0277777777777778
Rhithrogena,0,0,0,-0.0277777777777778,-0.0416666666666667,-0.0185185185185185,-0.00555555555555554,-0.0277777777777778,-0.0111111111111111
Siphlonurus,0.00680272108843537,0,0.0133333333333333,-0.0555555555555556,-0.0694444444444444,-0.0555555555555556,0.00555555555555554,-0.0111111111111111,-3.70074341541719e-17
Perlodes,0.0136054421768707,0.00900900900900901,0.04,-0.222222222222222,-0.180555555555556,-0.231481481481482,-0.144444444444444,-0.15,-0.0722222222222222
Isoperla,0,0,0,-0.0277777777777778,-0.0694444444444444,-0.0555555555555556,0.00555555555555554,0.0166666666666666,-0.00555555555555557
Odontocerum,0.0204081632653061,0.027027027027027,0.0133333333333333,-0.0833333333333333,-0.0972222222222222,-0.0277777777777778,-0.0444444444444444,-0.061111111111111,-0.105555555555556
Amphinemura,0,0,0,-0.0555555555555556,-0.0277777777777778,-0.0277777777777778,-0.05,-0.0388888888888889,-0.0944444444444445
Rhabdiopteryx,0,0.00900900900900901,0,-0.138888888888889,-0.0972222222222222,-0.0740740740740741,0.05,0.0166666666666667,0.0277777777777778
Ameletus,0,0,0,-0.0833333333333333,-0.0694444444444444,-0.0555555555555556,0.0111111111111111,0.0111111111111111,-0.0166666666666666
Perla,0,0.00900900900900901,0,-0.0833333333333333,-0.236111111111111,-0.175925925925926,-0.0722222222222222,-0.0444444444444445,-0.0666666666666667
Baetis,0.0136054421768707,0.036036036036036,0.0133333333333333,-0.277777777777778,-0.222222222222222,-0.138888888888889,0.0666666666666667,0.127777777777778,0.105555555555556
Wormaldia,0,0,0,-0.0277777777777778,-0.0138888888888889,-0.0277777777777778,-0.0111111111111111,-0.0111111111111111,-0.0222222222222222
Philopotamus,0.0408163265306122,0.036036036036036,0.0266666666666667,-0.0555555555555556,-0.0694444444444444,-0.111111111111111,-0.0277777777777778,-0.155555555555556,-0.172222222222222
Cloeon,-0.00680272108843537,0,0,0,-0.0277777777777778,-0.037037037037037,-0.0166666666666667,-0.0388888888888889,-0.0722222222222223
Caenis,0,0,0,-0.0555555555555556,-0.0694444444444444,-0.0648148148148148,0.0166666666666666,0.0111111111111111,-3.70074341541719e-17
Epeorus,0.0204081632653061,0.018018018018018,0.0266666666666667,-0.0555555555555556,-0.0416666666666667,-0.0925925925925926,-0.00555555555555554,-0.0055555555555555,0.0222222222222223
Electrogena,0,0.00900900900900901,0.0266666666666667,-0.111111111111111,-0.222222222222222,-0.166666666666667,0.111111111111111,0.0666666666666667,0.155555555555556
Ernodes,0,0,0,0,-0.0138888888888889,-0.00925925925925926,-0.0166666666666667,-0.0111111111111111,-0.0111111111111111
Potamophylax,0,0,0,-0.0555555555555556,-0.0555555555555556,-0.0185185185185185,-0.0111111111111111,0.00555555555555554,-0.0277777777777778
Allogamus,0,0,0,-0.0277777777777778,-0.0416666666666667,-0.0555555555555556,3.70074341541719e-17,-0.0333333333333333,-0.0388888888888889
Melampophylax,-0.0272108843537415,0,0.0133333333333333,-0.138888888888889,-0.208333333333333,-0.268518518518518,-0.183333333333333,-0.0666666666666667,-0.177777777777778
Annitella,0,-0.018018018018018,0,-0.194444444444444,-0.25,-0.277777777777778,-0.00555555555555557,0.0722222222222222,0.0444444444444444
